Adjusted date,Position,Seniority,Location,Studio,Client,Project,Team Name,Engagement,Year,Month,Day
08Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.25,2023,1,8
08Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.65,2023,1,8
08Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.65,2023,1,8
08Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.88,2023,1,8
08Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,8
09Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.31,2023,1,9
09Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.51,2023,1,9
09Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4.1,2023,1,9
09Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,4.1,2023,1,9
09Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.68,2023,1,9
09Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,9
10Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.01,2023,1,10
10Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.35,2023,1,10
10Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.55,2023,1,10
10Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.55,2023,1,10
10Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.65,2023,1,10
10Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,10
11Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.94,2023,1,11
11Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.33,2023,1,11
11Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,11
11Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,11
11Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.53,2023,1,11
11Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,11
12Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.79,2023,1,12
12Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.87,2023,1,12
12Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.45,2023,1,12
12Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.45,2023,1,12
12Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.03,2023,1,12
12Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,0,2023,1,12
13Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.01,2023,1,13
13Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.17,2023,1,13
13Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.4,2023,1,13
13Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.4,2023,1,13
13Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.13,2023,1,13
13Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,13
14Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,14
14Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.56,2023,1,14
14Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.35,2023,1,14
14Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.35,2023,1,14
14Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.01,2023,1,14
14Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.5,2023,1,14
15Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.68,2023,1,15
15Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.74,2023,1,15
15Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.3,2023,1,15
15Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.3,2023,1,15
15Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.52,2023,1,15
15Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,15
16Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.64,2023,1,16
16Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.88,2023,1,16
16Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.75,2023,1,16
16Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.75,2023,1,16
16Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.4,2023,1,16
16Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,16
17Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.15,2023,1,17
17Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.06,2023,1,17
17Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.2,2023,1,17
17Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.2,2023,1,17
17Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.34,2023,1,17
17Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,17
18Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.9,2023,1,18
18Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.53,2023,1,18
18Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.15,2023,1,18
18Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.15,2023,1,18
18Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.18,2023,1,18
18Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,18
19Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.32,2023,1,19
19Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,19
19Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.1,2023,1,19
19Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.1,2023,1,19
19Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.45,2023,1,19
19Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,19
20Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.51,2023,1,20
20Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.08,2023,1,20
20Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.05,2023,1,20
20Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.05,2023,1,20
20Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.24,2023,1,20
20Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,20
21Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.83,2023,1,21
21Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.52,2023,1,21
21Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,21
21Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,21
21Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.34,2023,1,21
21Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3,2023,1,21
22Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.47,2023,1,22
22Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.46,2023,1,22
22Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.95,2023,1,22
22Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.95,2023,1,22
22Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.33,2023,1,22
22Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,22
23Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.59,2023,1,23
23Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.57,2023,1,23
23Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.4,2023,1,23
23Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.4,2023,1,23
23Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.32,2023,1,23
23Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,23
24Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.97,2023,1,24
24Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.38,2023,1,24
24Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.85,2023,1,24
24Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.85,2023,1,24
24Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.36,2023,1,24
24Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,24
25Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.99,2023,1,25
25Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.89,2023,1,25
25Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.8,2023,1,25
25Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.8,2023,1,25
25Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.22,2023,1,25
25Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,25
26Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.64,2023,1,26
26Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.47,2023,1,26
26Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.75,2023,1,26
26Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.75,2023,1,26
26Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.3,2023,1,26
26Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,26
27Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.42,2023,1,27
27Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.34,2023,1,27
27Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.7,2023,1,27
27Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.7,2023,1,27
27Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.27,2023,1,27
27Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,27
28Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.44,2023,1,28
28Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.73,2023,1,28
28Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.65,2023,1,28
28Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.65,2023,1,28
28Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.56,2023,1,28
28Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.53,2023,1,28
28Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,28
29Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.74,2023,1,29
29Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.94,2023,1,29
29Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.6,2023,1,29
29Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.6,2023,1,29
29Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.63,2023,1,29
29Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,1,29
30Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.95,2023,1,30
30Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.31,2023,1,30
30Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,3.05,2023,1,30
30Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.05,2023,1,30
30Jan23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,1,30
30Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.22,2023,1,30
30Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,1,30
31Jan23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.24,2023,1,31
31Jan23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.57,2023,1,31
31Jan23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,31
31Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.5,2023,1,31
31Jan23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,0,2023,1,31
31Jan23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,3.15,2023,1,31
31Jan23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,1,31
01Feb23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.04,2023,2,1
01Feb23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.96,2023,2,1
01Feb23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.45,2023,2,1
1Feb23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,2,1
1Feb23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.95,2023,2,1
01Feb23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,0,2023,2,1
02Feb23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.86,2023,2,2
02Feb23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.35,2023,2,2
02Feb23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.4,2023,2,2
2Feb23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,2,2
2Feb23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.86,2023,2,2
02Feb23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,2,2
03Feb23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,3.33,2023,2,3
03Feb23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.76,2023,2,3
03Feb23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.35,2023,2,3
3Feb23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,2,3
3Feb23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.77,2023,2,3
03Feb23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,2,3
04Feb23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.67,2023,2,4
04Feb23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,3.27,2023,2,4
04Feb23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.3,2023,2,4
4Feb23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,2,4
4Feb23,DevOps Engineer,Ssr,CDMX,Cloud Ops,UrbanDesign Co.,Echo System,The Walking Pets,2.95,2023,2,4
04Feb23,Software Developer,Ssr,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.01,2023,2,4
05Feb23,User Experience Designer,Ssr,BOG,Design,UrbanDesign Co.,Echo System,The Walking Pets,2.68,2023,2,5
05Feb23,Project Manager,Sr Level 1,GDL,Delivery,UrbanDesign Co.,Echo System,The Walking Pets,2.89,2023,2,5
05Feb23,Software Developer,Sr Level 1,CDMX,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,2.25,2023,2,5
5Feb23,Software Developer,Sr Level 2,BOG,Engineering,UrbanDesign Co.,Echo System,The Walking Pets,4,2023,2,5
